frequency,raw
21.30, 2.05
22.42, 2.20
23.17, 2.23
23.94, 2.24
24.74, 2.28
25.56, 2.30
26.42, 2.33
27.30, 2.35
28.21, 2.38
29.15, 2.41
30.13, 2.46
31.13, 2.50
32.17, 2.53
33.25, 2.56
34.36, 2.57
35.50, 2.57
36.69, 2.57
37.91, 2.57
39.18, 2.61
40.49, 2.65
41.84, 2.71
43.24, 2.72
44.68, 2.73
46.17, 2.75
47.72, 2.77
49.25, 2.77
50.96, 2.78
52.72, 2.81
54.42, 2.81
56.23, 2.81
58.11, 2.81
60.05, 2.80
62.06, 2.82
64.13, 2.81
66.27, 2.79
68.48, 2.81
70.77, 2.86
73.13, 2.87
75.57, 2.88
78.10, 2.86
80.70, 2.82
83.40, 2.79
86.18, 2.79
89.06, 2.81
92.04, 2.80
95.11, 2.77
98.28, 2.77
101.57, 2.76
104.96, 2.75
108.46, 2.71
112.08, 2.71
115.83, 2.71
119.69, 2.71
123.69, 2.67
127.82, 2.63
132.09, 2.57
136.50, 2.57
141.06, 2.55
145.77, 2.55
150.63, 2.52
155.66, 2.44
160.86, 2.39
166.23, 2.37
171.78, 2.36
177.52, 2.35
183.45, 2.29
189.57, 2.26
195.90, 2.22
202.44, 2.12
209.20, 2.05
216.19, 2.00
223.41, 1.93
230.87, 1.87
245.08, 1.66
253.26, 1.65
261.72, 1.58
270.45, 1.52
278.24, 1.46
288.64, 1.34
298.46, 1.23
308.43, 1.16
318.63, 1.05
329.37, 0.94
340.37, 0.88
350.68, 0.76
363.48, 0.62
375.61, 0.56
388.15, 0.43
401.11, 0.31
414.51, 0.23
428.48, 0.07
443.18, -0.04
457.43, -0.15
472.71, -0.25
488.49, -0.38
499.55, -0.45
522.59, -0.63
539.08, -0.73
557.08, -0.81
575.68, -0.95
594.90, -1.10
605.65, -1.13
652.60, -1.45
674.39, -1.51
694.83, -1.62
726.66, -1.82
750.92, -1.89
777.80, -1.97
801.90, -2.07
828.68, -2.14
856.35, -2.16
884.95, -2.16
914.49, -2.15
945.03, -2.08
1000.19, -1.81
1033.59, -1.58
1069.17, -1.26
1103.77, -0.97
1140.63, -0.65
1179.06, -0.29
1217.34, 0.07
1241.94, 0.25
1304.11, 0.74
1338.87, 0.93
1414.20, 1.32
1461.42, 1.56
1498.99, 1.66
1573.28, 2.01
1612.76, 2.13
1701.81, 2.47
1755.49, 2.71
1818.45, 3.02
1881.97, 3.40
1946.56, 3.79
2011.56, 4.22
2073.30, 4.62
2146.85, 5.05
2212.30, 5.41
2280.33, 5.86
2356.47, 6.29
2434.43, 6.61
2516.46, 6.86
2600.49, 6.90
2687.32, 6.71
2768.78, 6.36
2845.41, 5.93
2930.40, 5.38
3038.21, 4.84
3135.60, 4.38
3249.34, 3.90
3337.56, 3.67
3484.50, 3.20
3609.82, 2.97
3721.08, 2.92
3845.33, 2.91
3973.73, 2.94
4088.07, 3.08
4241.00, 3.42
4385.23, 3.83
4535.53, 4.21
4682.97, 4.40
4835.01, 4.29
4941.56, 4.04
5097.42, 3.30
5175.64, 2.86
5222.21, 2.41
5364.45, 1.51
5494.14, 0.79
5601.82, 0.10
5728.68, -0.50
5889.99, -1.16
6090.30, -1.70
6314.84, -1.91
6503.81, -1.73
6680.96, -1.24
6832.27, -0.49
6914.36, -0.12
6976.58, 0.47
7054.08, 1.12
7118.62, 1.66
7198.77, 2.27
7252.71, 2.84
7303.42, 3.45
7372.81, 3.96
7450.26, 4.47
7614.44, 5.14
7803.18, 5.04
7920.56, 4.30
7991.83, 3.67
8015.72, 3.18
8087.85, 2.70
8136.30, 2.06
8185.03, 1.50
8221.77, 1.08
8243.90, 0.44
8283.38, -0.46
8382.91, -1.07
8401.70, -1.67
8441.51, -2.25
8478.56, -2.89
8529.35, -3.62
8585.56, -3.98
8604.81, -4.54
8641.29, -5.19
8682.24, -5.81
8727.73, -6.30
8766.91, -6.69
8819.42, -7.53
8898.78, -8.34
9019.15, -9.46
9075.89, -10.14
9132.07, -10.72
9244.09, -11.53
9320.31, -11.93
9460.50, -12.65
9631.52, -13.58
9761.81, -13.94
9982.89, -14.72
10362.54, -15.27
10705.00, -15.20
10980.54, -14.81
11283.00, -13.97
11538.53, -13.09
11694.61, -12.68
11799.84, -12.33
11995.23, -11.62
12175.66, -10.93
12507.30, -10.36
12886.39, -9.87
13276.98, -9.90
13618.27, -10.37
13926.69, -11.04
14354.16, -11.52
14630.01, -11.23
14827.92, -10.75
14961.34, -10.26
15032.99, -9.66
15077.95, -9.06
15141.11, -8.66
15244.80, -7.81
15300.18, -6.91
15405.62, -5.15
15368.86, -6.51
15468.61, -3.66
15460.91, -4.20
15787.47, -2.05
15724.75, -2.67
15826.34, -1.35
15811.06, -0.75
16072.87, -1.94
16096.88, -2.62
16088.87, -3.13
16153.06, -4.46
16157.08, -5.08
16193.30, -5.79
16256.28, -6.57
16334.13, -7.44
16324.38, -8.06
16373.19, -8.61
16424.61, -9.19
16400.11, -9.86
16461.43, -10.38
16510.66, -11.05
16572.40, -11.58
16569.93, -12.37
16659.22, -13.37
16784.05, -13.91
16779.04, -14.43
16825.86, -15.03
16897.19, -15.74
17112.99, -16.65
17318.61, -17.12
17413.67, -17.63
17474.44, -18.38
17579.11, -18.87
17605.37, -19.45
17709.53, -20.00
17886.62, -20.00
18065.49, -20.00
18246.14, -20.00
18428.60, -20.00
18612.89, -20.00
18799.02, -20.00
18987.01, -20.00
19176.88, -20.00
19368.65, -20.00
19562.33, -20.00
19757.96, -20.00
19955.54, -20.00
